issue_id,title,category,category_name,applies_to,applies_to_note,tier,scope_note,countries,era_start,era_end,era_note,severity_1_5,frequency_1_5,blocking,reversible,money_usd_low,money_usd_high,time_days_low,time_days_high,energy_1_5,evidence,confidence,summary,detail_file,detail_count
ARB-003,The file nobody can find,ARB,"Discretion, clerical error and the officer who decided",in_nigeria,"Faced by anyone living in Nigeria, any gender",primary,,NG,2000,2026,,4,5,yes,partial,50,3000,30,730,5,estimate,low,"Verification in Nigeria frequently depends on a physical record held by an institution with no functioning archive, and the absence is treated as the applicant's problem.",details/ARB-003.csv,4
PSY-001,Being read as dishonest before you speak,PSY,"Psychological and social load, and what it costs downstream",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",secondary,,*,1990,2026,,5,5,partial,partial,5000,200000,0,0,5,estimate,low,"The brief asks for the psychological effects of being seen as bad. For Nigerians the content of the stereotype is specifically dishonesty, which means the suspicion attaches to the person's word rather than to their capability.",details/PSY-001.csv,7
PSY-002,"The relationship market, with the nationality priced in",PSY,"Psychological and social load, and what it costs downstream",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",secondary,,*,2000,2026,,4,4,partial,partial,0,50000,0,0,5,estimate,low,"The brief names this directly. The identity changes who will partner with you, on what terms, and how the relationship is read by everyone around it - and the romance-scam association gives it a specific and unusually corrosive content.",details/PSY-002.csv,7
PSY-003,Not being able to plan,PSY,"Psychological and social load, and what it costs downstream",in_nigeria,"Faced by anyone living in Nigeria, any gender",secondary,,NG,2000,2026,,4,5,partial,partial,5000,300000,0,0,5,estimate,low,"Currency movement, power failure, insecurity and administrative unpredictability together remove the assumption of continuity that any long project requires.",details/PSY-003.csv,4
PSY-004,The arithmetic that never stops,PSY,"Psychological and social load, and what it costs downstream",nigerian_women,Requires both Nigerian nationality and being female,secondary,,NG,2000,2026,,4,5,partial,partial,0,0,0,0,5,estimate,low,"Running a household under ECO-002 is continuous mental computation - prices, credit, who is owed, what can wait - and it occupies the same capacity that would otherwise go to work or study.",details/PSY-004.csv,5
PSY-005,"The one who left, and the one who stayed",PSY,"Psychological and social load, and what it costs downstream",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",secondary,,*,2015,2026,,4,5,partial,partial,1000,30000,0,0,5,estimate,low,"Japa splits families into senders and receivers, and the remittance relationship carries obligation, guilt and quiet resentment in both directions.",details/PSY-005.csv,6
PSY-006,What it takes out of the work,PSY,"Psychological and social load, and what it costs downstream",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",secondary,,*,2000,2026,,4,5,partial,partial,5000,300000,0,0,5,estimate,low,"The brief asks specifically about efficiency and growth. The costs are real, large, and attributed to the person rather than to the conditions in essentially every setting.",details/PSY-006.csv,8
SOM-001,"Back pain, and the fact that it is measured",SOM,Somatic: what the load does to the body,in_nigeria,"Faced by anyone living in Nigeria, any gender",secondary,,NG,2000,2026,,4,5,partial,partial,50,3000,20,365,5,official,high,"The brief asks about back pain specifically. It is not a figure of speech: Nigeria may carry one of the heaviest low back pain burdens in the world, and the rural figure is roughly double the urban one.",details/SOM-001.csv,6
SOM-002,"The stress of running a household, in the spine",SOM,Somatic: what the load does to the body,nigerian_women,Requires both Nigerian nationality and being female,secondary,,NG,2000,2026,,4,5,partial,partial,50,2000,20,200,5,official,high,The single most directly relevant finding in this dataset to what the brief asked: Nigerian women who appraised their domestic responsibilities as very stressful had roughly three times the odds of low back pain.,details/SOM-002.csv,5
SOM-003,"Depression, arriving as a physical complaint",SOM,Somatic: what the load does to the body,in_nigeria,"Faced by anyone living in Nigeria, any gender",secondary,,NG,2000,2026,,4,4,partial,partial,100,5000,60,730,5,official,medium,"Psychological distress in Nigeria commonly presents somatically, which means it is investigated as a physical problem, not found, and the patient is left believing nobody could identify what is wrong.",details/SOM-003.csv,6
SOM-004,The productivity loss nobody has quantified,SOM,Somatic: what the load does to the body,nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",secondary,,NG,2000,2026,,3,5,no,partial,5000,300000,0,0,4,estimate,low,"The brief asks about effects on efficiency and growth. The honest position is that the components are well evidenced and the total is not, because the study joining them has not been done.",details/SOM-004.csv,4
